address,location,type,price,listing_image,beds,baths,half_baths,square_feet,brokerage,attribution
"2 Water Street, 7A, Manhattan, NY 10004",FINANCIAL DISTRICT,CONDO,3800,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137364/48155512?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Mirador Real Estate Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"42 Sidney Place, 4, Brooklyn, NY 11201",BROOKLYN HEIGHTS,CONDO,7000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137361/48180125?w=3840&q=75,4,2,Not listed,Not listed,Courtesy of Elegran Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"100 Bank Street, 1G, Manhattan, NY 10014",WEST VILLAGE,CO-OP,3995,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137358/48154676?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Brown Harris Stevens Residential Sales Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"225 East 46th Street, 12J, Manhattan, NY 10017",TURTLE BAY,CONDO,2750,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/default-building-image.jpg?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Douglas Elliman Real Estate,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"242 Gates Avenue, 2, Brooklyn, NY 11238",BEDFORD STUYVESANT,CONDO,9995,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137356/48153624?w=3840&q=75,4,3,1,Not listed,Courtesy of Brown Harris Stevens Residential Sales Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"211 Madison Avenue, 7A, Manhattan, NY 10016",MURRAY HILL,CONDO,5595,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137354/48153606?w=3840&q=75,1,2,1,Not listed,Courtesy of Brown Harris Stevens Residential Sales Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"230 Riverside Drive, 10D, Manhattan, NY 10025",UPPER WEST SIDE,CONDO,8995,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137352/48152559?w=3840&q=75,3,2,Not listed,Not listed,Courtesy of Brown Harris Stevens Residential Sales Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"321 East 43rd Street, 805, Manhattan, NY 10017",TURTLE BAY,CO-OP,5300,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137351/48152547?w=3840&q=75,2,1,Not listed,Not listed,Courtesy of Sothebys International Realty,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"230 East 15th Street, 6A, Manhattan, NY 10003",GRAMERCY,CO-OP,3999,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137350/48152513?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Brown Harris Stevens Residential Sales Llc,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"170 North 5th St, 4B, Brooklyn, NY 11211",WILLIAMSBURG,CONDO,5950,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleIdx/137339/48164968?w=3840&q=75,2,2,Not listed,Not listed,Courtesy of Made In Ny Realty,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
